document,label
절라남도 벌레?,0
부산에서 학식먹었는데 mt 동기mt 동아리mt 단한번도 해운대 안감 부산 현지인들이 다른데가야한다해서 안감 존나 더러운거 아니깐 ㅋㅋ,0
쌍도 여혐끝판왕의성지,0
제목보고 전라도 직감,0
홍어지 병신아 ㅋㅋㅋ,0
홍어짓인듯...,0
어휴 전라도 사투리컨셉잡고 노는새끼들이ㅋㅋㅋㅋㅋㅋㅋ전라도사투리 나왔다고 전라도면ㅋㅋㅋㅋㅋㅋㅋㅋㅋ여기 있는새끼들 절반이 홍어냐?,0
호남2중대 ㅁㅈㅎ,0
시발 경상도새끼들 작작해라경기도 밑으로 분리독립 시키면 안되나,0
머구놈들 정의로운척 쩌네,0
이거 일베충반 홍어반이 아니라 홍어가 철이네 철이야ㅋㅋㅋㅋㅋㅋㅋ 물보다 홍어가 많노 이기이기,0
하여간 우덜식이노우덜이니 씨발,0
지가 전라도면서,0
전라도색기들은 말하는게 참........... 이상해............ ;;;;;;;;;;;;,0
마 시팔 당당하게 윤보선하고 선거해서... 고무신 받은 전라도 몰표받고 당선됐다 이기야!!!! 유신 전까지는 민주성과 관련해서 하자가 없었음.,0
홍어새끼들 개좆같음,0
강라디언이 또..,0
죽은 홍어도 존나 개새끼다 시발,0
시체도 강간하는 경상도보단..,0
홍들홍들ㅋㅋ홍어샊히들 존나많네,0
부산 ㅁㅈㅎ 좆병신들 가면 조또 할것도 없고,0
멍청도식 오랜만이노 이기,0
조만간 전라도에서 최연소 기록 갱신한다,0
전라도 기자넘은 기사에 내용도 없고 제놈도 무슨 말 하는지 모를고 선동만 절라 해댐,0
전라도? 끄덕끄덕 .. 대체 얼마나 날림공사를 한거냐 시팔 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
경상도 여자들 자기가 속아서 문재인찍어놓은게 열받아서 저렇게 글쓰는듯전부 출세한 사람들 전라도 사람들,0
문재인 지지율은 이미 전국 75%~80%인 상황이라 다 잘한다고 박수치고 있는데 통베충들만 왕따 중 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ반면 씹그네 지지율은 10%대 아래로 폭락한 상황에서도 대구경북에서는 잘하고 있다고 60%이상이 지지함. 누가 진짜 또라이인지!?!?,0
나머지>>>>>>씹넘사>>>>>병신허세+부심좆되는 쌍도>>>>통수홍어ㅇㄱㄹㅇ ㅂㅂㅂㄱ,0
전라도 사람들이 머리좋고 영리하긴 하더라경상도놈들 무식한건 전국민이 다 알고,0
슨상고향 ㅁㅈㅎ ㅋㅋ,0
캬 전라도를 통수,0
김보름 마녀사냥 보면 알수있지...특히 심한곳은 전라도종특,0
"600명의 광수를 찾읍시다. 광수야. 어디서 사니? 어디로 갔니? 광주에서 사니? 호남에서 사니? 남한에서 사니? 살았니? 죽었니? 광수야. 너가 나타나야. 이 나라가 평온해 진단다. 39년이 흘렀는데, 찾았는데. 죽었니? 살았니? 죽었다면, 유족은 어디에 사니? 600명 광수는. 5.18 유공자란다. 5.18에 왔다가 어디로 갔니. 남한에서 사니? 북한에서 사니? 600명의 광수는 어디로 갔을까?",0
ㅋㅋㅋㅋ맞노 쌍도남들 재기해라,0
홍어급 피해망상,0
이게 강호의 도리다전라도 홍어들과 차이점임,0
